index;date;state;country;confirmed;confirmed_DR;confirmed_filtered;confirmed_filtered_DR
271;2020-01-23;no;Lebanon;0;;0.0;
272;2020-01-23;no;Laos;0;;0.0;
273;2020-01-23;no;Kyrgyzstan;0;;0.0;
274;2020-01-23;no;Kuwait;0;;0.0;
275;2020-01-23;no;Kosovo;0;;0.0;
276;2020-01-23;no;Korea, South;1;;1.2999999999999996;
277;2020-01-23;no;Luxembourg;0;;0.0;
278;2020-01-23;no;Latvia;0;;0.0;
279;2020-01-23;no;MS Zaandam;0;;0.0;
280;2020-01-23;no;Mozambique;0;;0.0;
281;2020-01-23;no;Malawi;0;;0.0;
282;2020-01-23;no;Malaysia;0;;0.30000000000000104;
283;2020-01-23;no;Maldives;0;;0.0;
284;2020-01-23;no;Mali;0;;0.0;
285;2020-01-23;no;Malta;0;;0.0;
286;2020-01-23;no;Mauritania;0;;0.0;
287;2020-01-23;no;Mauritius;0;;0.0;
288;2020-01-23;no;Mexico;0;;0.0;
289;2020-01-23;no;Moldova;0;;0.0;
290;2020-01-23;no;Monaco;0;;0.0;
291;2020-01-23;no;Mongolia;0;;0.0;
292;2020-01-23;no;Montenegro;0;;0.0;
293;2020-01-23;no;Morocco;0;;0.0;
294;2020-01-23;no;Kenya;0;;0.0;
295;2020-01-23;no;Madagascar;0;;0.0;
296;2020-01-23;no;Kazakhstan;0;;0.0;
297;2020-01-23;no;Estonia;0;;0.0;
298;2020-01-23;no;Japan;2;;1.9999999999999996;
299;2020-01-23;no;Namibia;0;;0.0;
300;2020-01-23;no;Eswatini;0;;0.0;
301;2020-01-23;no;Ethiopia;0;;0.0;
302;2020-01-23;no;Fiji;0;;0.0;
303;2020-01-23;no;Finland;0;;0.0;
304;2020-01-23;no;France;0;;0.7000000000000001;
305;2020-01-23;no;Gabon;0;;0.0;
306;2020-01-23;no;Gambia;0;;0.0;
307;2020-01-23;no;Georgia;0;;0.0;
308;2020-01-23;no;Germany;0;;0.0;
309;2020-01-23;no;Ghana;0;;0.0;
310;2020-01-23;no;Greece;0;;0.0;
311;2020-01-23;no;Grenada;0;;0.0;
312;2020-01-23;no;Guatemala;0;;0.0;
313;2020-01-23;no;Jordan;0;;0.0;
314;2020-01-23;no;Guinea;0;;0.0;
315;2020-01-23;no;Guyana;0;;0.0;
316;2020-01-23;no;Haiti;0;;0.0;
317;2020-01-23;no;Holy See;0;;0.0;
318;2020-01-23;no;Honduras;0;;0.0;
319;2020-01-23;no;Hungary;0;;0.0;
320;2020-01-23;no;Iceland;0;;0.0;
321;2020-01-23;no;India;0;;0.0;
322;2020-01-23;no;Indonesia;0;;0.0;
323;2020-01-23;no;Iran;0;;0.0;
324;2020-01-23;no;Iraq;0;;0.0;
325;2020-01-23;no;Ireland;0;;0.0;
326;2020-01-23;no;Israel;0;;0.0;
327;2020-01-23;no;Italy;0;;0.0;
328;2020-01-23;no;Jamaica;0;;0.0;
329;2020-01-23;no;Guinea-Bissau;0;;0.0;
330;2020-01-23;no;Nepal;0;;0.10000000000000028;
331;2020-01-23;no;Zimbabwe;0;;0.0;
332;2020-01-23;no;New Zealand;0;;0.0;
333;2020-01-23;no;Spain;0;;0.0;
334;2020-01-23;no;Sri Lanka;0;;0.0;
335;2020-01-23;no;Sudan;0;;0.0;
336;2020-01-23;no;Suriname;0;;0.0;
337;2020-01-23;no;Sweden;0;;0.0;
338;2020-01-23;no;Switzerland;0;;0.0;
339;2020-01-23;no;Syria;0;;0.0;
340;2020-01-23;no;Taiwan*;1;;1.6;
341;2020-01-23;no;Tajikistan;0;;0.0;
342;2020-01-23;no;Tanzania;0;;0.0;
343;2020-01-23;no;Thailand;3;;3.3999999999999995;
344;2020-01-23;no;Timor-Leste;0;;0.0;
345;2020-01-23;no;Togo;0;;0.0;
346;2020-01-23;no;Trinidad and Tobago;0;;0.0;
347;2020-01-23;no;South Sudan;0;;0.0;
348;2020-01-23;no;Tunisia;0;;0.0;
349;2020-01-23;no;US;1;;1.2999999999999998;
350;2020-01-23;no;Uganda;0;;0.0;
351;2020-01-23;no;Ukraine;0;;0.0;
352;2020-01-23;no;United Arab Emirates;0;;0.0;
353;2020-01-23;no;United Kingdom;0;;0.0;
354;2020-01-23;no;Uruguay;0;;0.0;
355;2020-01-23;no;Uzbekistan;0;;0.0;
356;2020-01-23;no;Venezuela;0;;0.0;
357;2020-01-23;no;Vietnam;2;;1.1999999999999995;
358;2020-01-23;no;West Bank and Gaza;0;;0.0;
359;2020-01-23;no;Western Sahara;0;;0.0;
360;2020-01-23;no;Yemen;0;;0.0;
361;2020-01-23;no;Zambia;0;;0.0;
362;2020-01-23;no;Eritrea;0;;0.0;
363;2020-01-23;no;Turkey;0;;0.0;
364;2020-01-23;no;Netherlands;0;;0.0;
365;2020-01-23;no;South Africa;0;;0.0;
366;2020-01-23;no;Slovenia;0;;0.0;
367;2020-01-23;no;Nicaragua;0;;0.0;
368;2020-01-23;no;Niger;0;;0.0;
369;2020-01-23;no;Nigeria;0;;0.0;
370;2020-01-23;no;North Macedonia;0;;0.0;
371;2020-01-23;no;Norway;0;;0.0;
372;2020-01-23;no;Oman;0;;0.0;
373;2020-01-23;no;Pakistan;0;;0.0;
374;2020-01-23;no;Panama;0;;0.0;
375;2020-01-23;no;Papua New Guinea;0;;0.0;
376;2020-01-23;no;Paraguay;0;;0.0;
377;2020-01-23;no;Peru;0;;0.0;
378;2020-01-23;no;Philippines;0;;0.0;
379;2020-01-23;no;Poland;0;;0.0;
380;2020-01-23;no;Portugal;0;;0.0;
381;2020-01-23;no;Somalia;0;;0.0;
382;2020-01-23;no;Qatar;0;;0.0;
383;2020-01-23;no;Russia;0;;0.0;
384;2020-01-23;no;Rwanda;0;;0.0;
385;2020-01-23;no;Saint Kitts and Nevis;0;;0.0;
386;2020-01-23;no;Saint Lucia;0;;0.0;
387;2020-01-23;no;Saint Vincent and the Grenadines;0;;0.0;
388;2020-01-23;no;San Marino;0;;0.0;
389;2020-01-23;no;Sao Tome and Principe;0;;0.0;
390;2020-01-23;no;Saudi Arabia;0;;0.0;
391;2020-01-23;no;Senegal;0;;0.0;
392;2020-01-23;no;Serbia;0;;0.0;
393;2020-01-23;no;Seychelles;0;;0.0;
394;2020-01-23;no;Sierra Leone;0;;0.0;
395;2020-01-23;no;Singapore;1;;1.2000000000000006;
396;2020-01-23;no;Slovakia;0;;0.0;
397;2020-01-23;no;Romania;0;;0.0;
398;2020-01-23;no;Equatorial Guinea;0;;0.0;
399;2020-01-23;Shanxi;China;1;;1.5000000000000013;
400;2020-01-23;no;Egypt;0;;0.0;
401;2020-01-23;Hunan;China;9;;13.400000000000002;
402;2020-01-23;Inner Mongolia;China;0;;0.9000000000000012;
403;2020-01-23;Isle of Man;United Kingdom;0;;0.0;
404;2020-01-23;Jiangsu;China;5;;5.500000000000004;
405;2020-01-23;Jiangxi;China;7;;8.299999999999999;
406;2020-01-23;Jilin;China;1;;1.3000000000000007;
407;2020-01-23;Liaoning;China;3;;4.200000000000002;
408;2020-01-23;Macau;China;2;;1.6;
409;2020-01-23;Manitoba;Canada;0;;0.0;
410;2020-01-23;Martinique;France;0;;0.0;
411;2020-01-23;Mayotte;France;0;;0.0;
412;2020-01-23;Montserrat;United Kingdom;0;;0.0;
413;2020-01-23;New Brunswick;Canada;0;;0.0;
414;2020-01-23;New Caledonia;France;0;;0.0;
415;2020-01-23;New South Wales;Australia;0;;7.771561172376096e-16;
416;2020-01-23;Newfoundland and Labrador;Canada;0;;0.0;
417;2020-01-23;Ningxia;China;1;;1.4;
418;2020-01-23;Northern Territory;Australia;0;;0.0;
419;2020-01-23;Northwest Territories;Canada;0;;0.0;
420;2020-01-23;Nova Scotia;Canada;0;;0.0;
421;2020-01-23;Ontario;Canada;0;;2.220446049250313e-16;
422;2020-01-23;Prince Edward Island;Canada;0;;0.0;
423;2020-01-23;Qinghai;China;0;;0.10000000000000028;
424;2020-01-23;Quebec;Canada;0;;0.0;
425;2020-01-23;Queensland;Australia;0;;0.0;
426;2020-01-23;Reunion;France;0;;0.0;
427;2020-01-23;Saint Barthelemy;France;0;;0.0;
428;2020-01-23;Saint Pierre and Miquelon;France;0;;0.0;
429;2020-01-23;Saskatchewan;Canada;0;;0.0;
430;2020-01-23;Hong Kong;China;2;;1.4999999999999996;
431;2020-01-23;Henan;China;5;;8.500000000000021;
432;2020-01-23;Heilongjiang;China;2;;2.3000000000000007;
433;2020-01-23;Hebei;China;1;;1.9000000000000026;
434;2020-01-23;no;El Salvador;0;;0.0;
435;2020-01-23;Alberta;Canada;0;;0.0;
436;2020-01-23;Anguilla;United Kingdom;0;;0.0;
437;2020-01-23;Anhui;China;9;;10.000000000000005;
438;2020-01-23;Aruba;Netherlands;0;;0.0;
439;2020-01-23;Australian Capital Territory;Australia;0;;0.0;
440;2020-01-23;Beijing;China;22;;23.5;
441;2020-01-23;Bermuda;United Kingdom;0;;0.0;
442;2020-01-23;Bonaire, Sint Eustatius and Saba;Netherlands;0;;0.0;
443;2020-01-23;British Columbia;Canada;0;;0.0;
444;2020-01-23;British Virgin Islands;United Kingdom;0;;0.0;
445;2020-01-23;Cayman Islands;United Kingdom;0;;0.0;
446;2020-01-23;Channel Islands;United Kingdom;0;;0.0;
447;2020-01-23;Chongqing;China;9;;16.20000000000001;
448;2020-01-23;Shaanxi;China;3;;3.400000000000001;
449;2020-01-23;Curacao;Netherlands;0;;0.0;
450;2020-01-23;Falkland Islands (Malvinas);United Kingdom;0;;0.0;
451;2020-01-23;Faroe Islands;Denmark;0;;0.0;
452;2020-01-23;French Guiana;France;0;;0.0;
453;2020-01-23;French Polynesia;France;0;;0.0;
454;2020-01-23;Fujian;China;5;;5.700000000000004;
455;2020-01-23;Gansu;China;2;;1.4000000000000006;
456;2020-01-23;Gibraltar;United Kingdom;0;;0.0;
457;2020-01-23;Grand Princess;Canada;0;;0.0;
458;2020-01-23;Greenland;Denmark;0;;0.0;
459;2020-01-23;Guadeloupe;France;0;;0.0;
460;2020-01-23;Guangdong;China;32;;38.400000000000006;
461;2020-01-23;Guangxi;China;5;;9.2;
462;2020-01-23;Guizhou;China;3;;2.2999999999999994;
463;2020-01-23;Hainan;China;5;;6.600000000000004;
464;2020-01-23;Diamond Princess;Canada;0;;0.0;
465;2020-01-23;Shandong;China;6;;8.300000000000004;
466;2020-01-23;Hubei;China;444;;496.6999999999998;
467;2020-01-23;no;Dominican Republic;0;;0.0;
468;2020-01-23;no;Bolivia;0;;0.0;
469;2020-01-23;no;Bosnia and Herzegovina;0;;0.0;
470;2020-01-23;no;Botswana;0;;0.0;
471;2020-01-23;no;Brazil;0;;0.0;
472;2020-01-23;no;Brunei;0;;0.0;
473;2020-01-23;no;Bulgaria;0;;0.0;
474;2020-01-23;no;Burkina Faso;0;;0.0;
475;2020-01-23;no;Burma;0;;0.0;
476;2020-01-23;no;Burundi;0;;0.0;
477;2020-01-23;no;Cabo Verde;0;;0.0;
478;2020-01-23;no;Cambodia;0;;0.0;
479;2020-01-23;no;Cameroon;0;;0.0;
480;2020-01-23;no;Chad;0;;0.0;
481;2020-01-23;no;Chile;0;;0.0;
482;2020-01-23;no;Bhutan;0;;0.0;
483;2020-01-23;no;Colombia;0;;0.0;
484;2020-01-23;no;Congo (Brazzaville);0;;0.0;
485;2020-01-23;no;Congo (Kinshasa);0;;0.0;
486;2020-01-23;no;Costa Rica;0;;0.0;
487;2020-01-23;no;Cote d'Ivoire;0;;0.0;
488;2020-01-23;no;Croatia;0;;0.0;
489;2020-01-23;no;Cuba;0;;0.0;
490;2020-01-23;no;Cyprus;0;;0.0;
491;2020-01-23;no;Czechia;0;;0.0;
492;2020-01-23;no;Denmark;0;;0.0;
493;2020-01-23;no;Diamond Princess;0;;0.0;
494;2020-01-23;no;Djibouti;0;;0.0;
495;2020-01-23;no;Dominica;0;;0.0;
496;2020-01-23;Shanghai;China;16;;15.699999999999996;
497;2020-01-23;no;Ecuador;0;;0.0;
498;2020-01-23;no;Comoros;0;;0.0;
499;2020-01-23;no;Benin;0;;0.0;
500;2020-01-23;no;Central African Republic;0;;0.0;
501;2020-01-23;Sint Maarten;Netherlands;0;;0.0;
502;2020-01-23;Sichuan;China;8;;10.200000000000003;
503;2020-01-23;no;Belize;0;;0.0;
504;2020-01-23;South Australia;Australia;0;;0.0;
505;2020-01-23;St Martin;France;0;;0.0;
506;2020-01-23;Tasmania;Australia;0;;0.0;
507;2020-01-23;Tianjin;China;4;;5.4;
508;2020-01-23;Tibet;China;0;;0.0;
509;2020-01-23;Turks and Caicos Islands;United Kingdom;0;;0.0;
510;2020-01-23;Victoria;Australia;0;;2.220446049250313e-16;
511;2020-01-23;Xinjiang;China;2;;1.3000000000000003;
512;2020-01-23;Yukon;Canada;0;;0.0;
513;2020-01-23;Yunnan;China;2;;3.1;
514;2020-01-23;Zhejiang;China;27;;26.900000000000006;
515;2020-01-23;no;Afghanistan;0;;0.0;
516;2020-01-23;no;Albania;0;;0.0;
517;2020-01-23;Western Australia;Australia;0;;0.0;
518;2020-01-23;no;Andorra;0;;0.0;
519;2020-01-23;no;Belgium;0;;0.0;
520;2020-01-23;no;Algeria;0;;0.0;
521;2020-01-23;no;Barbados;0;;0.0;
522;2020-01-23;no;Bangladesh;0;;0.0;
523;2020-01-23;no;Bahrain;0;;0.0;
524;2020-01-23;no;Bahamas;0;;0.0;
525;2020-01-23;no;Azerbaijan;0;;0.0;
526;2020-01-23;no;Belarus;0;;0.0;
527;2020-01-23;no;Armenia;0;;0.0;
